[0.00340639 0.9898393  0.00675432], SITTING
[0.00301121 0.9925292  0.0044595 ], SITTING
[0.08988772 0.44312942 0.46698278], WALKING
[2.8185188e-03 5.0925353e-04 9.9667215e-01], WALKING
[5.5346434e-04 6.3110545e-04 9.9881542e-01], WALKING
[5.8158103e-04 4.3623048e-04 9.9898213e-01], WALKING
[5.5152318e-04 1.4065603e-04 9.9930787e-01], WALKING
[1.5456730e-03 3.9897583e-04 9.9805534e-01], WALKING
[0.03413364 0.00391816 0.9619482 ], WALKING
[7.7343704e-03 2.4984076e-04 9.9201584e-01], WALKING
[0.00824511 0.7061102  0.28564474], SITTING
[3.9676356e-04 9.9940646e-01 1.9686471e-04], SITTING
[3.0601688e-04 9.9956340e-01 1.3055712e-04], SITTING
[3.5727528e-04 9.9950242e-01 1.4021409e-04], SITTING
[3.4674915e-04 9.9950564e-01 1.4758836e-04], SITTING
[4.0963831e-04 9.9944633e-01 1.4405964e-04], SITTING
[3.6185959e-04 9.9948478e-01 1.5336009e-04], SITTING
[3.4010794e-04 9.9954373e-01 1.1615361e-04], SITTING
[0.10253329 0.88940084 0.008066  ], SITTING
[0.07468463 0.00397586 0.92133945], WALKING
[0.02062686 0.00240465 0.97696847], WALKING
[4.0096682e-03 9.0868125e-04 9.9508166e-01], WALKING
[6.2925830e-03 6.4313412e-04 9.9306434e-01], WALKING
[0.02655994 0.00425522 0.9691849 ], WALKING
[2.3016095e-02 6.7749794e-04 9.7630638e-01], WALKING
[3.3646983e-03 3.3781247e-04 9.9629754e-01], WALKING
[0.11605373 0.00750846 0.8764378 ], WALKING
[0.00190267 0.99658585 0.00151149], SITTING
[2.4086409e-04 9.9970931e-01 4.9834551e-05], SITTING
[1.9408132e-04 9.9975902e-01 4.6911813e-05], SITTING
[1.9830934e-04 9.9975497e-01 4.6675643e-05], SITTING
[1.6489030e-03 9.9752754e-01 8.2355295e-04], SITTING
[0.00198107 0.99446386 0.00355508], SITTING
[3.7937146e-04 9.9929869e-01 3.2183819e-04], SITTING
[2.1346452e-04 9.9973756e-01 4.8939859e-05], SITTING
[0.23995638 0.7041046  0.05593899], SITTING
[0.26309147 0.03597857 0.70093   ], WALKING
[0.02669764 0.02148619 0.95181614], WALKING
[1.4375191e-03 5.6229747e-04 9.9800020e-01], WALKING
[0.00117124 0.00465713 0.99417156], WALKING
[0.00499113 0.01666189 0.97834694], WALKING
[5.3002720e-04 4.7627467e-04 9.9899369e-01], WALKING
[0.0074766  0.01133499 0.9811885 ], WALKING
[0.0182109  0.00167901 0.98011005], WALKING
[0.00466733 0.00371861 0.9916141 ], WALKING
[1.0564496e-03 8.7764353e-04 9.9806589e-01], WALKING
