[0.00243199 0.00285695 0.99471104], WALKING
[0.0013931  0.00338257 0.99522436], WALKING
[0.00243067 0.08257604 0.9149933 ], WALKING
[0.00456223 0.15966108 0.8357767 ], WALKING
[0.00642603 0.1463564  0.84721756], WALKING
[0.00644021 0.1441256  0.8494342 ], WALKING
[0.00611901 0.14151329 0.85236776], WALKING
[0.00694291 0.15046112 0.84259593], WALKING
[0.00587391 0.16054942 0.8335767 ], WALKING
[0.00449524 0.14008552 0.8554192 ], WALKING
[5.2639665e-03 7.8626053e-04 9.9394977e-01], WALKING
[1.4676211e-03 1.8021531e-04 9.9835217e-01], WALKING
[2.9969984e-03 8.1104413e-04 9.9619198e-01], WALKING
[9.5497729e-04 5.8660624e-03 9.9317896e-01], WALKING
[7.2357926e-04 1.8769713e-02 9.8050666e-01], WALKING
[4.8630490e-04 1.5702644e-02 9.8381108e-01], WALKING
[0.00293231 0.18319727 0.81387043], WALKING
[0.00312173 0.24568118 0.75119716], WALKING
[7.1495399e-04 1.2094698e-02 9.8719043e-01], WALKING
[0.00163954 0.05990303 0.9384574 ], WALKING
[0.00307442 0.10485575 0.8920698 ], WALKING
[7.1548996e-04 1.6958056e-02 9.8232645e-01], WALKING
[5.9883931e-04 4.9170423e-03 9.9448413e-01], WALKING
[0.00131088 0.01362819 0.9850609 ], WALKING
[4.4283306e-04 6.8437308e-03 9.9271339e-01], WALKING
[0.00599282 0.00762859 0.98637855], WALKING
[1.8699966e-02 5.9438311e-04 9.8070568e-01], WALKING
[0.00540919 0.00103718 0.99355364], WALKING
[2.2853666e-03 2.3249174e-04 9.9748212e-01], WALKING
[3.7095920e-04 1.1207388e-04 9.9951696e-01], WALKING
[3.8018543e-04 2.1399836e-04 9.9940586e-01], WALKING
[9.2894962e-04 2.5104685e-03 9.9656051e-01], WALKING
[0.00640779 0.00163584 0.99195635], WALKING
[0.0651638  0.00500959 0.92982656], WALKING
[0.0865407  0.00460289 0.9088564 ], WALKING
[1.08309716e-01 5.21666603e-04 8.91168535e-01], WALKING
[3.0349009e-02 6.5179047e-04 9.6899927e-01], WALKING
[5.267320e-03 1.823602e-04 9.945503e-01], WALKING
[3.7374566e-03 2.3307734e-04 9.9602950e-01], WALKING
[1.1796317e-03 2.5008421e-04 9.9857032e-01], WALKING
[2.0939318e-04 1.0567388e-03 9.9873382e-01], WALKING
[2.2391304e-04 4.6164193e-03 9.9515969e-01], WALKING
[0.0012615  0.00564035 0.9930982 ], WALKING
[0.02649033 0.07049774 0.9030119 ], WALKING
[0.00317033 0.0074242  0.98940545], WALKING
[0.0024544  0.01450512 0.9830405 ], WALKING
[0.0011654  0.00897109 0.98986346], WALKING
[0.00158845 0.01336926 0.9850423 ], WALKING
[0.00114105 0.01018652 0.98867244], WALKING
[7.3629792e-04 1.3899833e-03 9.9787366e-01], WALKING
[0.0130504  0.03308407 0.9538655 ], WALKING
[0.5333885  0.15127334 0.31533822], STANDING
[0.07211671 0.01779595 0.91008735], WALKING
[0.03057928 0.00220226 0.9672184 ], WALKING
[3.912864e-03 6.900873e-05 9.960181e-01], WALKING
[2.5512567e-03 1.1947206e-04 9.9732924e-01], WALKING
[0.00897677 0.0018453  0.98917794], WALKING
[0.51227427 0.02254944 0.4651763 ], STANDING
[0.01587837 0.0103137  0.9738079 ], WALKING
[0.0049149  0.00446349 0.9906217 ], WALKING
[0.017513   0.21795289 0.7645341 ], WALKING
[0.00437018 0.9501231  0.04550681], SITTING
[6.5618788e-04 9.9898344e-01 3.6031837e-04], SITTING
[3.1800452e-04 9.9941456e-01 2.6744339e-04], SITTING
