[5.7875539e-05 9.9960500e-01 3.3705216e-04], WALKING
[1.2599554e-05 9.9991107e-01 7.6309567e-05], WALKING
[1.4928144e-05 9.9977356e-01 2.1153501e-04], WALKING
[1.9791896e-06 9.9997616e-01 2.1798938e-05], WALKING
[6.134324e-06 9.999248e-01 6.910125e-05], WALKING
[8.9926061e-06 9.9984968e-01 1.4136088e-04], WALKING
[7.9554535e-05 9.9946612e-01 4.5434822e-04], WALKING
[7.3940146e-06 9.9993384e-01 5.8754711e-05], WALKING
[2.6285283e-05 9.9946398e-01 5.0972123e-04], WALKING
[5.8799144e-04 9.9628407e-01 3.1279169e-03], WALKING
[7.3168558e-05 9.9948931e-01 4.3745496e-04], WALKING
[7.4532823e-06 9.9990952e-01 8.2958351e-05], WALKING
[4.4242952e-06 9.9997628e-01 1.9271543e-05], WALKING
[2.225241e-05 9.995807e-01 3.969989e-04], WALKING
[3.841273e-06 9.999198e-01 7.635195e-05], WALKING
[3.3647452e-06 9.9996781e-01 2.8842222e-05], WALKING
[2.5357409e-05 9.9977666e-01 1.9793480e-04], WALKING
[1.1132297e-05 9.9972409e-01 2.6477937e-04], WALKING
[1.23021055e-05 9.99889612e-01 9.80922123e-05], WALKING
[1.9703204e-05 9.9971670e-01 2.6361842e-04], WALKING
[7.8422527e-06 9.9991500e-01 7.7128876e-05], WALKING
[4.68137841e-06 9.99887824e-01 1.07535125e-04], WALKING
[5.2934101e-06 9.9991417e-01 8.0608523e-05], WALKING
